devid,mytime,pointcloud,trackedobj,pointcloudassociatedid
1,2022-11-13 21:42:00.760,"{""pointCloud"": [[0.0, 0.9783826826489225, 1.1415246505241368, 1.3367514610290527, 0.0, -0.4878751337528229, 0.1471865475177765], [0.0, 0.9580278042994643, 1.0299899718204168, 1.407106876373291, 0.0, -0.5600752830505371, 0.1471865475177765]]}","{""trackedObj"": [[0.036016661673784256, 1.0163113804798811, 0.9683613571244756, 0.019558116793632507, 0.10873731970787048, -0.10594484955072404, 0.785031795501709, 0.4847197830677033, 0.0]]}","{""pointCloudAssociatedID"": [9, 9]}"
1,2022-11-13 21:42:11.760,"{""pointCloud"": [[0.0, 1.0097084614411842, 1.1737670003138503, 1.3367514610290527, 0.0, -0.4528166055679322, 0.0], [0.0, 0.945226009082287, 1.1097561108615506, 1.3367514610290527, 0.0, -0.5235987901687622, 0.1471865475177765], [0.0, 0.9580278042994643, 1.0299899718204168, 1.407106876373291, 0.0, -0.5600752830505371, 0.1471865475177765], [0.039574880943405624, 0.9559015137136913, 1.2174248877353664, 1.266396164894104, 0.03475940227508545, -0.4528166055679322, -0.1471865475177765], [0.041773483991537456, 1.0090071183716112, 1.1739485212574066, 1.3367514610290527, 0.03475940227508545, -0.4528166055679322, -0.1471865475177765], [0.043972087363357074, 0.994208229895946, 1.0630995220358894, 1.407106876373291, 0.03609222546219826, -0.5235987901687622, -0.1471865475177765], [0.04617069567099176, 1.0051063808757925, 0.981702454720496, 1.4774621725082395, 0.036893926560878754, -0.5600752830505371, -0.1471865475177765]]}","{""trackedObj"": [[0.024368608370423317, 0.9853190081825529, 1.1077275920938805, -0.0007497093174606562, -0.03682160004973411, 0.02029692754149437, 0.9928142428398132, 0.238702654838562, 0.0]]}","{""pointCloudAssociatedID"": [11, 11, 11, 11, 11, 11, 11]}"
1,2022-11-13 21:42:11.870,"{""pointCloud"": [[0.0, 0.9565659440131715, 1.2172529205197178, 1.266396164894104, 0.0, -0.4528166055679322, 0.0], [0.0, 1.0097084614411842, 1.1737670003138503, 1.3367514610290527, 0.0, -0.4528166055679322, 0.0], [0.0, 1.0298765631571098, 1.0963416890417765, 1.407106876373291, 0.0, -0.4878751337528229, 0.0], [0.0, 0.945226009082287, 1.1097561108615506, 1.3367514610290527, 0.0, -0.5235987901687622, 0.1471865475177765], [0.0, 0.9580278042994643, 1.0299899718204168, 1.407106876373291, 0.0, -0.5600752830505371, 0.1471865475177765], [0.041773483991537456, 1.0090071183716112, 1.1739485212574066, 1.3367514610290527, 0.03475940227508545, -0.4528166055679322, -0.294373095035553], [0.04397209106824515, 1.0291250207858584, 1.096536202520658, 1.407106876373291, 0.03538484126329422, -0.4878751337528229, -0.294373095035553], [0.039574880943405624, 0.9559015137136913, 1.2174248877353664, 1.266396164894104, 0.03475940227508545, -0.4528166055679322, -0.1471865475177765], [0.0, 1.0097084614411842, 1.1737670003138503, 1.3367514610290527, 0.0, -0.4528166055679322, -0.1471865475177765], [0.0, 1.0298765631571098, 1.0963416890417765, 1.407106876373291, 0.0, -0.4878751337528229, -0.1471865475177765], [0.0, 1.0447235059050795, 1.0160462069021134, 1.4774621725082395, 0.0, -0.5235987901687622, -0.1471865475177765]]}","{""trackedObj"": [[0.011193918995559216, 0.994074232390631, 1.1246604333494559, -0.13262471556663513, 0.034689176827669144, 0.20160803198814392, 0.9854189157485962, 0.23706726729869845, 0.0]]}","{""pointCloudAssociatedID"": [11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]}"
1,2022-11-13 21:42:11.960,"{""pointCloud"": [[0.0, 0.9565659440131715, 1.2172529205197178, 1.266396164894104, 0.0, -0.4528166055679322, 0.0], [0.0, 1.0097084614411842, 1.1737670003138503, 1.3367514610290527, 0.0, -0.4528166055679322, 0.0], [0.0, 1.0298765631571098, 1.0963416890417765, 1.407106876373291, 0.0, -0.4878751337528229, 0.0], [0.0, 0.9783826826489225, 1.1415246505241368, 1.3367514610290527, 0.0, -0.4878751337528229, 0.1471865475177765], [0.039574880943405624, 0.9559015137136913, 1.2174248877353664, 1.266396164894104, 0.03475940227508545, -0.4528166055679322, -0.294373095035553], [0.041773483991537456, 1.0090071183716112, 1.1739485212574066, 1.3367514610290527, 0.03475940227508545, -0.4528166055679322, -0.294373095035553], [0.0, 0.9565659440131715, 1.2172529205197178, 1.266396164894104, 0.0, -0.4528166055679322, -0.1471865475177765], [0.0, 1.0097084614411842, 1.1737670003138503, 1.3367514610290527, 0.0, -0.4528166055679322, -0.1471865475177765], [0.0, 1.0298765631571098, 1.0963416890417765, 1.407106876373291, 0.0, -0.4878751337528229, -0.1471865475177765]]}","{""trackedObj"": [[0.0061587197706103325, 1.0099150314320018, 1.1527291852983779, -0.06817301362752914, 0.0447687953710556, 0.27961575984954834, 0.9780647158622742, 0.22960764169692993, 0.0]]}","{""pointCloudAssociatedID"": [11, 11, 11, 11, 11, 11, 11, 11, 11]}"
1,2022-11-13 21:42:12.070,"{""pointCloud"": [[0.0, 0.9565659440131715, 1.2172529205197178, 1.266396164894104, 0.0, -0.4528166055679322, 0.0], [0.0, 0.9783826826489225, 1.1415246505241368, 1.3367514610290527, 0.0, -0.4878751337528229, 0.0], [0.0, 0.9580278042994643, 1.0299899718204168, 1.407106876373291, 0.0, -0.5600752830505371, 0.0], [0.04617069567099176, 1.0051063808757925, 0.981702454720496, 1.4774621725082395, 0.036893926560878754, -0.5600752830505371, 0.0], [0.039574880943405624, 0.9559015137136913, 1.2174248877353664, 1.266396164894104, 0.03475940227508545, -0.4528166055679322, -0.294373095035553], [0.03737627416998342, 0.902795819074181, 1.260901327879234, 1.1960407495498655, 0.03475940227508545, -0.4528166055679322, -0.1471865475177765], [0.039574880943405624, 0.9559015137136913, 1.2174248877353664, 1.266396164894104, 0.03475940227508545, -0.4528166055679322, -0.1471865475177765], [0.0, 1.0097084614411842, 1.1737670003138503, 1.3367514610290527, 0.0, -0.4528166055679322, -0.1471865475177765], [-0.04617069567099176, 1.0051063808757925, 0.981702454720496, 1.4774621725082395, -0.036893926560878754, -0.5600752830505371, -0.1471865475177765]]}","{""trackedObj"": [[0.008842692710459232, 0.9944604077273521, 1.1484618457138969, 0.033677324652671814, -0.04384041950106621, 0.11514955759048462, 0.9718018174171448, 0.23101991415023804, 0.0]]}","{""pointCloudAssociatedID"": [11, 11, 11, 11, 11, 11, 11, 11, 11]}"
1,2022-11-13 21:42:12.160,"{""pointCloud"": [[0.039574880943405624, 0.9559015137136913, 1.2174248877353664, 1.266396164894104, 0.03475940227508545, -0.4528166055679322, -0.1471865475177765], [0.041773483991537456, 1.0090071183716112, 1.1739485212574066, 1.3367514610290527, 0.03475940227508545, -0.4528166055679322, -0.1471865475177765]]}","{""trackedObj"": [[0.024991821497678757, 0.9952503981202965, 1.1654857824690472, 0.16285440325737, -0.06279495358467102, 0.13184478878974917, 0.9645838141441344, 0.22276245057582855, 0.0]]}","{""pointCloudAssociatedID"": [11, 11]}"
1,2022-11-13 21:42:12.260,"{""pointCloud"": [[0.0, 0.9580278042994643, 1.0299899718204168, 1.407106876373291, 0.0, -0.5600752830505371, 0.0], [0.0, 0.9268888893912882, 1.186707535449082, 1.266396164894104, 0.0, -0.4878751337528229, 0.1471865475177765], [0.0, 0.945226009082287, 1.1097561108615506, 1.3367514610290527, 0.0, -0.5235987901687622, 0.1471865475177765], [0.0, 0.9580278042994643, 1.0299899718204168, 1.407106876373291, 0.0, -0.5600752830505371, 0.1471865475177765], [0.0, 0.9648406556773385, 0.947526533155497, 1.4774621725082395, 0.0, -0.5974063873291016, 0.1471865475177765], [0.04177348076001517, 0.9444977678638973, 1.1099445935582986, 1.3367514610290527, 0.03609222546219826, -0.5235987901687622, -0.1471865475177765], [0.04397209253438854, 0.9572442031568238, 1.0301927827198962, 1.407106876373291, 0.036893926560878754, -0.5600752830505371, -0.1471865475177765]]}","{""trackedObj"": [[0.016909159719944, 0.9460769209982565, 1.101041591446684, 0.08727435767650604, -0.1735280603170395, -0.3469077944755554, 0.9577522277832032, 0.23586900532245636, 0.0]]}","{""pointCloudAssociatedID"": [11, 11, 11, 11, 11, 11, 11]}"
1,2022-11-13 21:42:12.360,"{""pointCloud"": [[0.0, 0.9783826826489225, 1.1415246505241368, 1.3367514610290527, 0.0, -0.4878751337528229, 0.1471865475177765]]}","{""trackedObj"": [[0.019565453752875328, 0.9308625698269943, 1.0794129054050414, 0.08073180168867111, -0.15572723746299744, -0.40548789501190186, 0.9577522277832032, 0.23586900532245636, 0.0]]}","{""pointCloudAssociatedID"": [11]}"
1,2022-11-13 21:42:14.360,"{""pointCloud"": [[0.0, 0.9565659440131715, 1.2172529205197178, 1.266396164894104, 0.0, -0.4528166055679322, 0.1471865475177765], [0.0, 1.0097084614411842, 1.1737670003138503, 1.3367514610290527, 0.0, -0.4528166055679322, 0.1471865475177765], [-0.043972091574816456, 0.9180929263428157, 0.9978521077989042, 1.407106876373291, -0.037805452942848206, -0.5974063873291016, 0.1471865475177765], [-0.046170694663441106, 0.9639975415478331, 0.9477447471494078, 1.4774621725082395, -0.037805452942848206, -0.5974063873291016, 0.1471865475177765], [0.041773485672494795, 0.9093819443406741, 1.078683192880809, 1.3367514610290527, 0.036893926560878754, -0.5600752830505371, -0.1471865475177765], [0.04397209253438854, 0.9572442031568238, 1.0301927827198962, 1.407106876373291, 0.036893926560878754, -0.5600752830505371, -0.1471865475177765], [0.0, 1.0059291620490103, 0.9814895032829154, 1.4774621725082395, 0.0, -0.5600752830505371, -0.1471865475177765]]}","{""trackedObj"": [[-0.00030979205621406436, 0.9644380424948201, 1.0614694637754285, -4.696369614975993e-06, 0.018033519387245175, -0.010812203399837015, 0.9928142428398132, 0.2691616714000702, 0.0]]}","{""pointCloudAssociatedID"": [8, 8, 8, 8, 8, 8, 8]}"
1,2022-11-13 21:42:14.470,"{""pointCloud"": [[0.04397209253438854, 0.9572442031568238, 1.0301927827198962, 1.407106876373291, 0.036893926560878754, -0.5600752830505371, 0.0], [0.0, 0.945226009082287, 1.1097561108615506, 1.3367514610290527, 0.0, -0.5235987901687622, 0.1471865475177765], [0.0, 0.9580278042994643, 1.0299899718204168, 1.407106876373291, 0.0, -0.5600752830505371, 0.1471865475177765], [0.04617069313793088, 0.9204169839642541, 0.9144266952941897, 1.4774621725082395, 0.03884655237197876, -0.6357113122940063, 0.1471865475177765], [0.041773485672494795, 0.9093819443406741, 1.078683192880809, 1.3367514610290527, 0.036893926560878754, -0.5600752830505371, -0.1471865475177765], [0.04397209253438854, 0.9572442031568238, 1.0301927827198962, 1.407106876373291, 0.036893926560878754, -0.5600752830505371, -0.1471865475177765], [0.09234138520472024, 0.9614645744569376, 0.9484003272731496, 1.4774621725082395, 0.07566507160663605, -0.5974063873291016, -0.1471865475177765], [0.10113580796990874, 1.0981237043215337, 0.8854223689849603, 1.6181728839874268, 0.07383818924427032, -0.5600752830505371, -0.1471865475177765]]}","{""trackedObj"": [[0.04039398953318596, 0.9507101896651758, 1.049002851334346, 0.4095667600631714, -0.10127842426300047, -0.16508623957633972, 0.9865044355392456, 0.27535542845726013, 0.0]]}","{""pointCloudAssociatedID"": [8, 8, 8, 8, 8, 8, 8, 8]}"
